index,image,sound,text,options,option 1,option 2,end,end order
10,10.png,10.mp3,"قالَ الراعي لرياض: هذا هوَ الجملُ الآسيوي، ولهُ سَنامَينِ على ظهرِهِ، ويعيشُ في البلدانِ الباردةِ. الناسُ الذين يعيشون في الأماكنِ الباردةِ يَرْكبونهُ للتنقُّلِ والسفرِ. ",no,,,no,
11,11.png,11.mp3,"قالَ الراعي: انظرْ يا رياضُ لهذه الصورةِ، وعُدَّ الجِمَالَ الآسيويةَ فيها. قالَ رياض:  أرى خمسةَ جِمَالٍ آسيوية. دُهِشَ الراعي من ذكاءِ رياضٍ وسرعةِ تَعَلُّمِهِ. ",no,,,no,
12,12.png,12.mp3,"بَيْنَما كانَ رياضُ يمشيُ في طريقِهِ، يصادفُ قريةً صغيرةً ويلتقي بأهلهَا الذينَ يشاركونَهُ حُبَّهُ للرياضياتِ وتاريخِ الأرقام.",no,,,no,
13,13.png,13.mp3,"يقترحُ أهلُ القريةِ عليهِ زيارةَ عالِمينِ من العلماءِ المشهورينَ في الرياضياتِ والعلومِ، واللذيْنِ ساهمَا في تطويرِ الأرقامِ وحسابِ الأشياءِ. يقولُ رياضُ: حسنًا، سأزورُ أحدَ هذينِ العالِمَينِ وأتعرَّفُ عل إسهاماتهِ في تاريخِ الرياضياتِ والعلوم.",no,,,no,
14,14.png,14.mp3,"ما رأيُكَ هل يختارُ رياضُ التَّعرُّفَ على العالِمِ الأولِ: الخَوَارِزِميِّ، أو العالِمِ الثاني: البتَّاني؟ ",yes,15,16,no,
15,15.png,15.mp3,"سيتعرفُ رياضُ على الخوارِزْمي، العالِمُ المسلمُ الذي استفادَ الناسُ منه كثيرًا في الرياضياتِ. سيَشْرَحُ رجلٌ حكيمٌ لرياض ما فعلهُ الخوارِزْمي:  اهتم الخوارِزْمي بكتابةِ الأرقامِ، وعلَّمَ الناسَ طُرُقًا ذكيةً في الحِسَابَاتِ الرياضيةِ واستخدامها لمعرفَةِ أماكنِ النجومِ، ومعرفةِ شكلِ الأرضِ وما فيها من جبالٍ وبحارٍ وأنهار.",no,,,no,
16,16.png,16.mp3,"سيتعرفُ رياضُ على البتاني، العالِمُ العربيُّ المشهورُ بإسهاماتِهِ في مجال معرفةِ كمْ تَبْعُدُ النجومُ عن بعضها وحسابِ زوايا الأشياء. سيشرحُ رجلٌ حكيمٌ لرياض ما فعلهُ البتاني: قَامَ البتاني بتصحيحِ بعضِ الأخطاءِ عند الناس في طريقةِ حسابهم لأماكنِ النجوم. فهذا العالمُ البتاني  ساعدَ في تطوِّرِ العلومِ والاختراعات  التي تُمَكِّنُ الناسً من مُراقبةِ النجومِ، وتساعدُ البحّارين في معرفةِ طُرُقِهِم في البحارِ من خلالِ النَّظَرِ إلى النجومِ. ",no,,,no,
17,17.png,17.mp3,"بعدَ أنْ عدَّ رياضُ ثلاثةَ جِمَالٍ عربيةٍ، يَتَذَكَّرُ رياضُ أنَّهُ في الفصلِ الدِّرَاسِيِّ.  ويُخْبِرُ زُمَلَاءَهُ بعدَ الدرسِ عن رِحْلَتِهِ الخياليةِ.   يقولُ رياضُ لزملائه:  سأتعلمُ ركوبَ الجملِ العربيِّ وأشاركُ في سباقِ جِمَالٍ محلِّي.  يتمكَّنُ رياضُ من الفوزِ بالسباقِ ويصبحُ بطلًا في ركوبِ الجِمالِ.",no,,,yes,"6 , 17"
18,18.png,18.mp3,"بعدَ أنْ عدَّ رياضُ خمسةَ جِمالٍ آسيوية، يتذكرُ رياضُ أنهُ في الفصلِ الدراسي، ويقرِّرُ تطبيقَ معرفتِهِ الجديدةِ في مشروعٍ جماعيٍّ. يقولُ رياضُ لزملائهِ: دعونا نبني مُجَسَّمًا مصغرًا لقريةٍ صحراويةٍ فيها جِمالٌ آسيويةٌ.",no,,,yes,"6 , 18"
19,19.png,19.mp3,"بعدَ إتمامِ الرحلةِ الخياليةِ، وتعرُّفِ رياض على إسهاماتِ العالِمِ الخوارزمي، يعودُ رياضُ بانتباههِ للفصلِ الدراسيِّ،  ويفكِّرُ في كل الاختراعاتِ حولهُ وكيفَ كانَ لهذا العالِمِ أثرٌ في حياتنا. يقرِّرُ رياضُ أن يتعلَّمَ كي يصبحَ عالمًا يفيدُ الناسَ باكتشافاتهِ واختراعاتهِ. ",no,,,yes,"12 , 19"
20,20.png,20.mp3,"بعدَ زيارةِ رياض للبتَّانِيِّ وتعلُّمِ إسهاماتِهِ في مجالِ الفلكِ والحسابِ، يتذكرُ رياضُ أنهُ في الفصلِ الدراسيِّ، فيسألُ المعلِّمَ: كيف يمكنُ أنْ أُصبحَ مراقبًا ماهرًا للنجوم . يقولُ لهُ المعلِّمُ : تعلُّمُ العلومِ والرياضياتِ سيُفيدُكَ كثيرًا في تحقيق حُلُمِكَ بأن تكونَ عالِمَ فلَكٍ يرصدُ الكواكبَ والنجوم. ",no,,,yes,"12 , 20"
